yearmonth,pr,eto,tasmin,tasmax,tas
1998 Sep,111.911060494079,126.953030567903,23.0149031219633,33.2724950914552,28.1436991067093
1998 Oct,87.7833187650647,126.532972498053,23.3195885394133,33.2052118833294,28.2624002113714
1998 Nov,174.652474448526,105.363813287408,23.0331684910099,32.0848792232235,27.5590238571167
1998 Dec,161.286284325391,122.857235110018,22.8675794603261,32.6054763393471,27.7365278998366
1999 Jan,388.019659640521,98.191740754088,22.1226107092572,30.6265273166081,26.3745690129326
1999 Feb,338.874739872633,89.1460722000641,22.0138679187578,30.4980663963021,26.25596715753
1999 Mar,306.428504627837,99.4669214240193,22.1798925368835,30.8024182513507,26.4911553941171
1999 Apr,349.80456628743,95.0592958835455,22.2801253734491,30.6580475500585,26.4690864617538
1999 May,369.202802037346,90.0241630839173,22.305671597237,30.3689147252394,26.3372931612382
1999 Jun,154.874173565024,99.2303252234261,22.3849635047085,31.3997655687953,26.8923645367519
1999 Jul,86.1342632262664,114.378620816406,22.2099342921418,32.0044177277986,27.1071760099702
1999 Aug,74.9608455522526,121.988185936177,22.272788196148,32.8428466754643,27.5578174358061
1999 Sep,136.76396792598,116.391621919779,22.7201413427349,33.2176083566639,27.9688748496994
1999 Oct,138.957670550375,124.67141176963,22.3934898325495,33.6104483428769,28.0019690877132
1999 Nov,107.687189491543,117.661464949331,22.7314926448423,33.182471583816,27.9569821143291
1999 Dec,168.411338192471,106.963901605832,22.6885933228908,32.5343960905648,27.6114947067278
2000 Jan,265.345673690886,97.2465230783767,21.9483866745289,31.2489706663076,26.5986786704183
2000 Feb,273.302920428959,89.2154466583884,21.842767910431,31.0553165650616,26.4490422377463
2000 Mar,349.297459122697,93.0948131648747,21.7755093903095,30.8547180967264,26.3151137435179
2000 Apr,363.486704809426,83.8270787332185,21.6450193405151,30.8417386418028,26.243378991159
2000 May,259.521333062437,94.6418539631296,22.5008428922749,31.2923640105351,26.896603451405
2000 Jun,156.357972066078,103.436499106108,22.2392324312199,32.0620610205144,27.1506467258672
2000 Jul,149.365303558711,102.221888331972,21.7671577109934,31.3993653091544,26.5832615100739
2000 Aug,87.8228668658691,129.119089692302,22.5579469698625,32.8793106155556,27.7186287927091
